placement_id,slot_id,content_id,content_type,sort_order,published
gallery_intro_1,gallery_intro,gallery_intro,detail,1,true
conservation_lab_intro_1,conservation_lab_intro,conservation_lab_intro,detail,1,true
vestibule_welcome_01_1,vestibule_welcome_01,welcome-sequence,tool,1,true
gallery_wall_01_1,gallery_wall_01,gallery-fixed-wall_01,detail,1,true
gallery_wall_01_2,gallery_wall_01,art-susanna-sequence,detail,2,true
gallery_wall_02_1,gallery_wall_02,gallery-fixed-wall_02,detail,1,true
gallery_wall_02_2,gallery_wall_02,art-relief-sequence,detail,2,true
gallery_case_01_1,gallery_case_01,gallery-fixed-fan,detail,1,true
gallery_wall_03_1,gallery_wall_03,gallery-roman-wall-sconce,detail,1,true
conservation_lab_table_01_1,conservation_lab_table_01,ChineseUVIvoryCollection,detail,1,true
conservation_lab_timeline_01_1,conservation_lab_timeline_01,ivory_ages,timeline,1,true
conservation_lab_media_01_1,conservation_lab_media_01,conservation-methods,tool,1,true
historical_society_timeline_01_1,historical_society_timeline_01,local_lives,timeline,1,true
historical_society_piano_01_1,historical_society_piano_01,historical_society_piano_01,detail,1,true
historical_society_table_01_1,historical_society_table_01,historical_society_table_01,detail,1,true
attic_timeline_01_1,attic_timeline_01,family_traces,timeline,1,true
natural_history_specimen_01_1,natural_history_specimen_01,natural-history-specimen,detail,1,true
natural_history_specimen_01_label_1,natural_history_specimen_01_label,natural-history-specimen,detail,1,true
natural_history_panel_01_1,natural_history_panel_01,natural_history_intro,detail,1,true
natural_history_map_01_1,natural_history_map_01,natural-history-map,tool,1,true
natural_history_timeline_01_1,natural_history_timeline_01,proboscidean-timeline,tool,1,true
natural_history_map_02_1,natural_history_map_02,habitation-map,tool,1,true
natural_history_timeline_02_1,natural_history_timeline_02,deep_time_evidence,timeline,1,true
natural_history_inquiry_01_1,natural_history_inquiry_01,natural-history-tusk,tool,1,true
conservators_office_terminal_01_1,conservators_office_terminal_01,conservator-terminal,tool,1,true
conservators_office_panel_01_1,conservators_office_panel_01,conservators_office_intro,detail,1,true
lab_attic_context_01_1,lab_attic_context_01,lab-attic-sequence,tool,1,true
